team1,team2,videoTitle,videoID,uploadDate
G2,T1,G2 vs. T1 | MSI 2024 | G2 Esports vs. T1 | GAME 1,C4hW7_awcpU,2024-05-10T10:18:20Z
G2,T1,G2 vs. T1 | MSI 2024 | G2 Esports vs. T1 | GAME 5,uWWiH21a91A,2024-05-10T13:44:34Z
G2,T1,G2 vs. T1 | MSI 2024 | G2 Esports vs. T1 | GAME 2,u3x9KOx0ezo,2024-05-10T11:01:12Z
G2,T1,G2 vs. T1 | MSI 2024 | G2 Esports vs. T1 | GAME 4,AT9eHa5J934,2024-05-10T12:32:32Z
G2,T1,G2 vs. T1 | MSI 2024 | G2 Esports vs. T1 | GAME 3,6EDyjGV6Y3I,2024-05-10T11:49:53Z
